succeeded,attempted,percentage
40,193,0.20725388601036268
6,10,0.6
23,26,0.8846153846153846
27,145,0.18620689655172415
37,154,0.24025974025974026
16,22,0.7272727272727273
29,32,0.90625
211,272,0.7757352941176471
348,384,0.90625
1,47,0.02127659574468085
1,11,0.09090909090909091
81,162,0.5
29,74,0.3918918918918919
180,333,0.5405405405405406
31,36,0.8611111111111112
